1_mean,0_mean,1_std,0_std
19.09161676923077,19.585472111111113,1.086326501309203,0.9282675417096136
50.22701130769234,52.80376344444444,5.156714318643463,6.3344200821999275
30.10458423076923,30.782403888888886,1.8701064127519667,1.1546909158346699
76.25434538461536,79.39880611111113,7.146449429502692,9.225985838143126
19.134809153846156,19.47241133333334,1.0403564849256377,0.8588172589142544
29.322661769230763,30.425321222222223,3.25024475018506,3.606856906497771
37.0978126923077,36.52802722222222,2.09970588023122,2.43818466167853
25.03323923076923,25.382781666666666,1.364283452528478,0.9311240242395246
22.93741461538461,23.247391999999984,1.5845513742943313,0.6479336468483968
21.508853846153844,21.76263022222222,1.2811606408249412,1.062941411576595
