CD,mov1,mov2,mov3,mov4
001_Janacek_1,474.09151900000006,348.524127,574.186168,400.332041
002_Takacs_1,419.951519,325.864127,492.371882,357.972313
003_Koeckert_1,448.25151900000003,365.544127,568.4718819999998,383.152041
004_PavelHass_1,456.811519,336.984127,536.580453,361.252041
005_Travnicek_1,432.77151900000007,330.724127,483.85188200000005,346.2920410000001
006_Prazak_1,444.27151900000007,317.144127,521.6175959999998,350.972041
007_Jerusalem_1,409.271519,325.924127,506.04616799999997,317.692041
008_Dante_1,452.09151900000006,330.984127,516.640453,358.312041
009_AlbanBerg_1,440.37805,351.224127,515.440453,349.99204100000003
010_Skampa_1,436.11151900000004,332.284127,542.497596,346.6123130000001
011_MoyzesQuartet_1,470.831519,328.704127,519.374739,365.392041
012_Talich_1,447.511519,321.344127,520.891882,352.332041
013_EnergieNove_1,475.191519,336.604127,517.2804530000001,388.912041
014_Hollywood_1,418.071519,313.644127,535.2804530000001,366.592041
015_Vlach_1,490.87151900000003,337.0641270000001,547.369025,377.592041
016_Guarneri_1,405.031519,307.724127,499.220453,324.29204100000004
017_Amadeus_1,432.591519,329.944127,519.4661679999999,351.412041
018_Excelsior_1,469.05151900000004,361.024127,522.140453,367.732041
019_Lindsay_1,415.071519,326.8241270000001,533.0404530000001,337.312041
020_Takacs_1,406.671519,316.344127,488.95473899999996,344.812041
021_Tokyo_1,422.511519,318.944127,482.99188200000003,341.932041
022_Talich_1,448.891519,317.904127,526.9661679999998,353.0120409999999
023_Talich_1,440.47151900000006,314.624127,521.740453,326.412041
024_Smetana_1,447.831519,319.704127,509.394286,378.35204100000004
025_Emerson_1,390.98517000000004,316.784127,542.680453,377.152041
026_Wihan_1,488.41151900000006,337.144127,540.4547389999999,373.052041
027_Endellion_1,432.55151900000004,316.1241270000001,539.597596,362.632041
028_Juilliard_1,481.37151900000003,309.664127,494.99188200000003,347.092041
029_Panocha_1,433.331519,317.484127,507.109025,388.572041
030_Sevcik-Lhotsky_1,438.751519,322.304127,515.460453,351.332041
031_Medici_1,420.451519,333.264127,486.76331100000004,413.032041
032_Talich_1,443.511519,325.74412700000005,526.860453,354.132041
033_Sacconi_1,500.771519,380.004127,507.811882,405.930408
