CD,mov1,mov2,mov3,mov4
001_Belcea_1,251.864127,289.4171429999999,271.500408,335.268708
002_Tokyo_1,233.924127,250.37755099999998,239.480408,300.208708
003_Takacs_1,248.183175,270.216735,245.040408,322.247755
004_Schoenberg_1,246.649841,251.817143,252.900408,314.948708
005_Doric_1,271.864127,253.297143,249.50040800000002,318.128708
006_Emerson_1,230.724127,237.017959,224.280408,297.788708
007_Hagen_1,259.76412700000003,260.07714300000004,257.300408,316.10870800000004
008_Prazak_1,244.544127,249.17714300000003,227.740408,296.508708
009_Belcea_1,253.464127,275.937143,262.08040800000003,324.728708
010_AlbanBerg_1,232.344127,260.13714300000004,219.32040800000001,303.148708
011_Jerusalem_1,262.049841,281.57714300000004,263.000408,309.92870800000003
012_Panocha_1,238.164127,252.877143,228.460408,305.328708
013_Wallinger_1,251.684127,253.75755099999998,244.120408,322.008708
014_Excelsior_1,244.004127,267.560408,238.320408,321.60870800000004
016_Wihan_1,245.564127,286.177143,249.50040800000002,310.88870799999995
017_Lindsay_1,230.184127,241.977143,216.340408,323.5487080000001
018_NewHelsinki_1,258.204127,263.277143,257.76040800000004,313.348708
020_Vlach_1,258.644127,266.837143,246.580408,314.54870800000003
021_Navarra_1,256.364127,281.857143,251.16040800000002,315.688708
022_EnergieNove_1,259.204127,262.07714300000004,230.762721,320.038232
023_Hagen_1,251.984127,258.51714300000003,246.022721,295.2287080000001
024_Acies_1,253.264127,266.897143,230.560408,319.068708
025_Taurus_1,246.264127,237.577143,212.240408,337.9887080000001
026_Austrian_1,293.544127,271.577551,262.900408,325.48870800000003
027_Calidore_1,243.784127,253.53795899999997,237.760408,303.328708
028_Guarneri_1,241.403175,239.45714300000003,219.980408,303.2287080000001
029_PavelHaas_1,254.214286,268.337143,251.00040800000002,326.868708
030_Melos_1,238.84412700000001,266.937143,234.740408,327.388708
031_Diotima_1,255.764127,261.81714300000004,228.020408,314.04870800000003
032_Brodsky_1,251.34412700000001,241.198368,253.680408,309.628708
033_Janacek_1,235.024127,246.057551,214.520408,298.7287080000001
034_Martinu_1,257.044127,253.51755099999997,249.740408,309.528708
035_Casal_1,235.964127,251.95714300000003,243.480408,293.808708
036_Talich_1,242.224127,252.357143,218.240408,278.449524
037_Henschel_1,249.604127,267.337143,227.72040800000002,303.14952400000004
038_Cecilia_1,239.364127,252.657959,246.360408,292.4287080000001
039_Gerhard_1,231.724127,241.65714300000002,243.72040800000002,302.768708
040_Zaide_1,260.724127,264.497143,241.280408,335.48870800000003
041_Medici_1,236.944127,248.360408,261.900408,335.1687080000001
042_Juilliard_1,261.284127,270.31714300000004,243.860408,341.328708
043_Nostitz_1,238.944127,246.49714300000002,224.44040800000002,309.10870800000004
044_Janacek_1,282.684127,250.477143,231.760408,295.188708
045_Gabrieli_1,265.684127,240.037143,237.16040800000002,336.308708
046_Tokyo_1,237.484127,266.857143,241.140408,306.60870800000004
047_Skampa_1,230.23428600000003,243.797143,214.300408,293.348708
048_Vlach_1,263.404127,257.857143,247.360408,333.60870800000004
049_Smetana_1,249.464127,257.597143,207.911973,297.1687080000001
050_NewZealand_1,236.664127,253.157959,238.640408,308.808708
051_Vanbrugh_1,237.244127,256.117143,228.60040800000002,292.60870800000004
053_Janacek_1,259.304127,264.457959,256.980408,321.708708
054_Arianna_1,235.54381,250.33714300000003,229.82040800000001,295.668708
055_Janacek_1,277.06412700000004,261.63755100000003,248.020408,306.828708
056_Meccore_1,247.584127,245.417143,226.94040800000002,289.368708
057_PavelHaas_1,256.74412700000005,273.857959,252.240408,339.648708
058_Arete_1,248.704127,272.81795900000003,253.800408,333.9487079999999
059_Smetana_1,221.304127,274.82408100000004,263.220408,310.308708
060_Kubin_1,232.964127,241.320408,213.360408,282.468708
061_Endress_1,258.459048,242.137143,220.620408,282.228708
062_Stamitz_1,232.684127,266.57795899999996,240.540408,316.568708
063_Mandelring_1,239.444127,250.818776,225.840408,288.828708
064_Smetana_1,229.184127,250.077143,219.680408,343.6087080000001
065_Sebastian_1,235.164127,239.237143,208.920408,289.0487080000001
066_Debussy_1,247.744127,287.9571430000001,228.300408,327.848708
067_Talich_1,254.304127,261.25714300000004,240.900408,322.03619
068_Arcadia_1,250.104127,263.377143,226.340408,290.92870800000003
